pagination,pagination-href,body,Stars
"13","http://www.amazon.com/Apple-iPhone-5s-Unlocked-Cellphone/product-reviews/B00F3J4B5S/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&sortBy=recent","the cellphone is not new. It is refurbished and selled as a new phone. I have many problems about the microphone, proximity sensor and battery. I don,t reccomend it","1.0 out of 5 stars"
"19","http://www.amazon.com/Apple-iPhone-5s-Unlocked-Cellphone/product-reviews/B00F3J4B5S/ref=cm_cr_arp_d_paging_btm_19?ie=UTF8&pageNumber=19&sortBy=recent","The Review
Claim: iPhone 5s is a great product
The iPhone 5s is an amazing, easy-to-use product that you should buy for great benefits. The iPhone can hold a lot of gigabytes (GB) that can be helpful with storage space for pictures, apps, songs, and games. It can come in many different colors so you can pick from whatever colors you want, and it has its own personal servant called Siri. She looks up anything you ask her to. This iphone has so many great helpful pros to it!

The iphone 5s has a great amount of storage options. The most you can get is 64GB according to science.opposingviews.com. To all iphone buyers you could also have 16 and 32GB at a cheaper cost. But it is so worth paying more for the 64GB. That is a great amount of storage to have because it is always beneficial to have lots of pictures! Most people love to snap pictures and make more than enough memories, you can never take too many pictures to capture the moment! You never really have to worry about running out of storage and needing to delete things because you’ll already have a ton of storage. If you like to play games and have lots of apps it’s always beneficial to have 64GB. You can get games, get collage apps, editing apps, and all kinds of cool ones. If you have a lot of songs you’ll still be wonderful with storage!

Having lots of GB is great but color has a huge impact on what phone buyers decide to buy. Men typically want a darker phone where the girls want a lighter one, and the iPhone 5s lets you pick and choose your colors. You can mix it up! [...] says you can get a white or space gray iPhone with a gold, bronze, black, or silver middle. Most people feel that the color option makes the iPhone 5s look even better than the older versions like the iPhone 4 and 4s. Most people would rather be able to to change the color than have the same boring black phone that everyone else has. It gives you a chance to be unique! You can always take it in somewhere and get a different back or front if you change your mind and also, you can get a difft home button color. It’s always nice to have a great selection of colors to pick from!

Not only do we have a nice selection of colors, the iPhone has siri unlike other phones. Siri is helpful to anyone with an iphone that doesn’t feel like putting in their password just to look one thing up. It is really easy to use Siri on their phone too. All you have to do is hold down the middle button and say something clearly through the phone and Siri will answer you. Here is an example: I am stuck in middle of New York City, and I need to find Manhattan quickly so I’m not late for my meeting. I have no time to type in my password because I will be late. Then I remembered Siri is a quick way to look up something. Then I decided to hold down the home button and say “find the quickest way to get to Manhattan.” Siri then responds, “The quickest way to get to Manhattan is by walking because of traffic, it will only take 5 minutes to walk there.” There is an example of how Siri is helpful. If you had any other phone when you were in that situation, you probably would be late to your meeting. Siri is beneficial to anyone with an Iphone.

Everyone needs to go out and get the iPhone 5s because it is the best phone that is out right now and is easy to use. [...] says that the apple phones are living large. The amount of GB, the color, and siri are only some of the great characteristics of the iPhone 5s!","4.0 out of 5 stars"
"20","http://www.amazon.com/Apple-iPhone-5s-Unlocked-Cellphone/product-reviews/B00F3J4B5S/ref=cm_cr_arp_d_paging_btm_20?ie=UTF8&pageNumber=20&sortBy=recent","Bargain","5.0 out of 5 stars"
"250","http://www.amazon.com/Apple-iPhone-5s-Unlocked-Cellphone/product-reviews/B00F3J4B5S/ref=cm_cr_arp_d_paging_btm_250?ie=UTF8&pageNumber=250&sortBy=recent","SAVE your money and  you won't have to deal the  AGRIVATION this product imposes on folks,  just read the  reviews. the ones not written by apple employees tell the truth they're all negative.","1.0 out of 5 stars"
"242","http://www.amazon.com/Apple-iPhone-5s-Unlocked-Cellphone/product-reviews/B00F3J4B5S/ref=cm_cr_arp_d_paging_btm_242?ie=UTF8&pageNumber=242&sortBy=recent","Phone works fine but facetime works tereble my call keeps dropping every 10secs or less also the camera zoom is not the best. I wont advise any one to buy this phone if these features are impotant to you. I would go with the samsung s4 or s5 the camera together with video chat is much better. Samsung is the way!!!!","2.0 out of 5 stars"
"237","http://www.amazon.com/Apple-iPhone-5s-Unlocked-Cellphone/product-reviews/B00F3J4B5S/ref=cm_cr_arp_d_paging_btm_237?ie=UTF8&pageNumber=237&sortBy=recent","This doesn't make any sense to buy the iPhone here when you can buy the same phone brand new and unlocked from apple online with free shipping for less money. I really don't get what they are trying to do here. It isn't worth it.","1.0 out of 5 stars"
"233","http://www.amazon.com/Apple-iPhone-5s-Unlocked-Cellphone/product-reviews/B00F3J4B5S/ref=cm_cr_arp_d_paging_btm_233?ie=UTF8&pageNumber=233&sortBy=recent","I didn't purchase this on Amazon but all I have to say is that the iPhone 5S is the best phone ever! You will love it! So pretty and so worth it! Please purchase it and don't wait for the iPhone 6 because it is horrible. PURCHASE THE IPHONE 5S ❤️❤️❤️❤️❤️❤️❤️❤️❤️","5.0 out of 5 stars"
"231","http://www.amazon.com/Apple-iPhone-5s-Unlocked-Cellphone/product-reviews/B00F3J4B5S/ref=cm_cr_arp_d_paging_btm_231?ie=UTF8&pageNumber=231&sortBy=recent","Good","5.0 out of 5 stars"
"239","http://www.amazon.com/Apple-iPhone-5s-Unlocked-Cellphone/product-reviews/B00F3J4B5S/ref=cm_cr_arp_d_paging_btm_239?ie=UTF8&pageNumber=239&sortBy=recent","very nice","4.0 out of 5 stars"
"14","http://www.amazon.com/Apple-iPhone-5s-Unlocked-Cellphone/product-reviews/B00F3J4B5S/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&sortBy=recent","Ok","5.0 out of 5 stars"
"215","http://www.amazon.com/Apple-iPhone-5s-Unlocked-Cellphone/product-reviews/B00F3J4B5S/ref=cm_cr_arp_d_paging_btm_215?ie=UTF8&pageNumber=215&sortBy=recent","Exelente!!!!","5.0 out of 5 stars"
"260","http://www.amazon.com/Apple-iPhone-5s-Unlocked-Cellphone/product-reviews/B00F3J4B5S/ref=cm_cr_arp_d_paging_btm_260?ie=UTF8&pageNumber=260&sortBy=recent","Thank you, for getting things done in a short notice

You did great job !

I am glad I got it :)","5.0 out of 5 stars"
"233","http://www.amazon.com/Apple-iPhone-5s-Unlocked-Cellphone/product-reviews/B00F3J4B5S/ref=cm_cr_arp_d_paging_btm_233?ie=UTF8&pageNumber=233&sortBy=recent","👌","5.0 out of 5 stars"
"229","http://www.amazon.com/Apple-iPhone-5s-Unlocked-Cellphone/product-reviews/B00F3J4B5S/ref=cm_cr_arp_d_paging_btm_229?ie=UTF8&pageNumber=229&sortBy=recent","Just perfect! Prompt and secure shipment, good price and reliability. I recommend it to everyone.","5.0 out of 5 stars"
"11","http://www.amazon.com/Apple-iPhone-5s-Unlocked-Cellphone/product-reviews/B00F3J4B5S/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&sortBy=recent","Awesome","5.0 out of 5 stars"
"16","http://www.amazon.com/Apple-iPhone-5s-Unlocked-Cellphone/product-reviews/B00F3J4B5S/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&sortBy=recent","Phone is great. Battery power not so much.","2.0 out of 5 stars"
"252","http://www.amazon.com/Apple-iPhone-5s-Unlocked-Cellphone/product-reviews/B00F3J4B5S/ref=cm_cr_arp_d_paging_btm_252?ie=UTF8&pageNumber=252&sortBy=recent","On the apple web, you can get one of these for $199 - $399. You can also customize it for free. Space gray, gold, silver. Those are the colors.","1.0 out of 5 stars"
"237","http://www.amazon.com/Apple-iPhone-5s-Unlocked-Cellphone/product-reviews/B00F3J4B5S/ref=cm_cr_arp_d_paging_btm_237?ie=UTF8&pageNumber=237&sortBy=recent","its ok when phone recived liitle bit scratch on paper bag its look like some body open before","4.0 out of 5 stars"
"","","great!","5.0 out of 5 stars"
"13","http://www.amazon.com/Apple-iPhone-5s-Unlocked-Cellphone/product-reviews/B00F3J4B5S/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&sortBy=recent","Thank you very much!! I love my new phone!! Tired of the iPhone5...","5.0 out of 5 stars"
