pagination,pagination-href,body,Stars
"68","http://www.amazon.com/BLU-Life-Unlocked-Smartphone-Black/product-reviews/B0189RMNTG/ref=cm_cr_arp_d_paging_btm_68?ie=UTF8&pageNumber=68&sortBy=recent","I was genuinely looking forward to receiving this product. There has been a lot of hype about this device. The design was sleek for a $150 phone. I figure give it a try.
The phone came nicely wrapped in a nice little box with a pair of headphones, a flip cover case, and a charger (alot to add for a $150 phone). The phone felt nice in the hand..
Then I turned it on. The resolution was OK. The screen although 5.2  was swallowed by the bezels and the size of the phone. The camera was OK. Everything was... Ok. Nothing was necessarily bad just not a superb experience as I was expecting. I would recommend this for anyone that doesn't know that much about Android or just entering the Android world or for a parent that is getting a child there first phone. But from an experienced Android user I wasn't super impressed. Will not be used as my daily driver","4.0 out of 5 stars"
"7","http://www.amazon.com/BLU-Life-Unlocked-Smartphone-Black/product-reviews/B0189RMNTG/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&sortBy=recent","Beyond what I thought for the money. Package arrived a day early. I'd recommend it to anyone.","5.0 out of 5 stars"
"11","http://www.amazon.com/BLU-Life-Unlocked-Smartphone-Black/product-reviews/B0189RMNTG/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&sortBy=recent","Had problems with the Bluetooth and sent it back.","3.0 out of 5 stars"
"11","http://www.amazon.com/BLU-Life-Unlocked-Smartphone-Black/product-reviews/B0189RMNTG/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&sortBy=recent","I travel a lot internationally so I have been looking for a budget phone with acceptable performance. This phone gave me everything I've been looking for and so much more. Coupled with the front flash, the 5MP front camera creates amazing selfies, something my iphone 6 cannot compete with. I can go on and on about this phone. The only con I can find is the battery life and it takes a long time to recharge but life is perfect ;-).","4.0 out of 5 stars"
"50","http://www.amazon.com/BLU-Life-Unlocked-Smartphone-Black/product-reviews/B0189RMNTG/ref=cm_cr_arp_d_paging_btm_50?ie=UTF8&pageNumber=50&sortBy=recent","Good quality 👍","5.0 out of 5 stars"
"24","http://www.amazon.com/BLU-Life-Unlocked-Smartphone-Black/product-reviews/B0189RMNTG/ref=cm_cr_arp_d_paging_btm_24?ie=UTF8&pageNumber=24&sortBy=recent","Battery heats up when playing games","4.0 out of 5 stars"
"67","http://www.amazon.com/BLU-Life-Unlocked-Smartphone-Black/product-reviews/B0189RMNTG/ref=cm_cr_arp_d_paging_btm_67?ie=UTF8&pageNumber=67&sortBy=recent","This phone works great i really love it. the WiFi is good the screen looks awesome. Their is really nothing i can complain about.","5.0 out of 5 stars"
"21","http://www.amazon.com/BLU-Life-Unlocked-Smartphone-Black/product-reviews/B0189RMNTG/ref=cm_cr_arp_d_paging_btm_21?ie=UTF8&pageNumber=21&sortBy=recent","Pros:
1. Extremely good value for money. I paid $100 for this in April (no, not an April fool's joke).
2. Almost native Android 5.1. Minimal bloatware.
3. Has band 12. I have a OnePlus One and that does not give me 4G data when I am in some parts of the country. Also, the OPO had poor mobile data speeds in the UK. This phone works for those purposes quite well.
4. Dual band and the included SIM toolkit app does a good job at delegating activities to one SIM. When traveling in the UK, I had data through my T-Mobile SIM and phone calls through my Lyca mobile UK SIM
5. MicroSD expandable.
6. FM Radio - insert included earphones or your own earphones and you can listen to FM radio. This comes in handy especially when traveling or when at gyms that route TV audio through FM radio stations.
7. Comes with a very decent accessory pack including earphones and a portfolio like case.
8. For the money I paid, a brilliant screen.
9. Customer service located in the US and answers the phone.

Cons:
1. Biggest con is the battery charging ability. The included charger only goes at 1ma and this isn't changed even when you attempt to use a higher charging capacity charger. It takes me about 2.5h to go from 30% to 100%.
2. Mediocre Camera. The camera does a decent job but don't expect a flagship camera quality. The front camera does have flash though. The camera overall has poor performance in not well lit shots.
3. Audio quality is not the greatest. You cannot hear the phone when on speaker. Being that the speaker is placed on the rear end of the phone, you better place the phone on its front if you don't wake up easily with alarms.
4. Not so great battery life. My Screen on Time with Bluetooth and location on is about 3.5h which is good but not great.
5. BLU is not known to update software on their phone so I don't expect to see Android 6 on this phone. Also, these phones don't enjoy much patronage in the Custom OS world.
6. While it has 2GB RAM, it isn't as snappy as some of the flagship 2GB RAM phones like the Nexus 5X.
7. Only noteworthy OS related issue - when you restart the phone, it reverts to the Default sound settings. I have had an instance of restarting my phone during a meeting only to receive sound notifications when I had prior to switching off phone set it at ""meeting"" under the notifications.
Things it does not have have which I don't necessarily consider to be a disadvantage:
1. Does not have WiFi AC support.
2. No NFC
3. No front facing speakers

In short, great value for money. With a dual SIM, FM radio and support for band 12, hard to find a better phone for the frequent American Traveler.","4.0 out of 5 stars"
"45","http://www.amazon.com/BLU-Life-Unlocked-Smartphone-Black/product-reviews/B0189RMNTG/ref=cm_cr_arp_d_paging_btm_45?ie=UTF8&pageNumber=45&sortBy=recent","I'm coming from an iphone 6 to this phone. I broke my 6 and needed a phone to hold me off until the end of the contract. I bought this not expecting much just something to get me by and honestly i havent really noticed that big of a difference, wifi is good, mobile data is lte, vid quality is good, speakers are meh but whatever i have headphones and car speakers lol, all in all if you just use your phone for basic things like watching netflix/YouTube, calling, texting, streaming, etc. this should get the job done just fine.","5.0 out of 5 stars"
"26","http://www.amazon.com/BLU-Life-Unlocked-Smartphone-Black/product-reviews/B0189RMNTG/ref=cm_cr_arp_d_paging_btm_26?ie=UTF8&pageNumber=26&sortBy=recent","Ok for the.price but battery heats like crazy, battery lasts half a day and phone cracked at first small fall","2.0 out of 5 stars"
