pagination,pagination-href,body,Stars
"13","http://www.amazon.com/Honor-5X-Metal-Unlocked-Smartphone/product-reviews/B019O8YX1K/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&sortBy=recent","Phenomenal phone. I have GOLD. For screen protection best fits OMOTON Tempered Glass Screen Protector.","5.0 out of 5 stars"
"14","http://www.amazon.com/Honor-5X-Metal-Unlocked-Smartphone/product-reviews/B019O8YX1K/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&sortBy=recent","Does not work properly with google play. Its a complete waste. If I knew it weren't supported I would gave never wasted money on it. None of my saved games load from the google play cloud with this pos.","1.0 out of 5 stars"
"60","http://www.amazon.com/Honor-5X-Metal-Unlocked-Smartphone/product-reviews/B019O8YX1K/ref=cm_cr_arp_d_paging_btm_60?ie=UTF8&pageNumber=60&sortBy=recent","I have had this phone for a few days. It does all I need it too. Now I need to find a cover for it. I have only one complaint which is I can't take the battery out other then that it is doing good.
Update:
I have recently put a 32 GB memory card in it and put my music on to the card. The first time I tried it I used the Microsoft music player it converted everything into wmp. Which is not supported by this phone. Then I went to the file where my iTunes stores my music on my computer and draged it onto my memory card and made sure it didn't convert it. Come to my surprise that all my music and my music videos now play on my phone. My music is mp4 if that helps anyways.","5.0 out of 5 stars"
"31","http://www.amazon.com/Honor-5X-Metal-Unlocked-Smartphone/product-reviews/B019O8YX1K/ref=cm_cr_arp_d_paging_btm_31?ie=UTF8&pageNumber=31&sortBy=recent","At first glance the power/volume buttons looked very cheap and 1week later power button stop working!
Now all contacts and notes are lost and I'm left with the choice of taking a 250$ hit or return a phone with literally all my personal info.
I sincerely doubt I am the only one this happen to
You been warned
(It did look good while it lasted)","1.0 out of 5 stars"
"37","http://www.amazon.com/Honor-5X-Metal-Unlocked-Smartphone/product-reviews/B019O8YX1K/ref=cm_cr_arp_d_paging_btm_37?ie=UTF8&pageNumber=37&sortBy=recent","The Huawei Honor 5x is without a doubt a great phone. This is the first non IOS device that I've purchased in years and honestly I couldn't be happier. The device that I was using prior to this was an Iphone 5s and the honor 5x performs much better.","5.0 out of 5 stars"
"20","http://www.amazon.com/Honor-5X-Metal-Unlocked-Smartphone/product-reviews/B019O8YX1K/ref=cm_cr_arp_d_paging_btm_20?ie=UTF8&pageNumber=20&sortBy=recent","Love the phone. No issues and very fast for a $199 budget phone. Highly Recommended.","5.0 out of 5 stars"
"52","http://www.amazon.com/Honor-5X-Metal-Unlocked-Smartphone/product-reviews/B019O8YX1K/ref=cm_cr_arp_d_paging_btm_52?ie=UTF8&pageNumber=52&sortBy=recent","Hard to believe that this phone is actually $200. Don't think Huawei making much on these phone. I upgraded from Samsung S4, since I didn't want to spend 4x as much for a new Samsung S7 Edge. Very happy with the phone, easy to change sim card","5.0 out of 5 stars"
"61","http://www.amazon.com/Honor-5X-Metal-Unlocked-Smartphone/product-reviews/B019O8YX1K/ref=cm_cr_arp_d_paging_btm_61?ie=UTF8&pageNumber=61&sortBy=recent","Huawei has been known to produce relatively good budget smartphones and more recently some mid-range and high-end (or high priced) devices such as the Nexus 5X and 6P.

The Honor 5X falls into the 'budget' category with 'mid-range' specs. For $199 USD it is a great deal. If you can live without the CONs below then this phone is right for you. Otherwise be prepared to spend another $100 - $150 USD.

PROs:

***Most of the specs it offers is similar to the iPhone 6s/6s Plus, One Plus X and Nexus 5X/6P***

Fingerprint scanner
Dual-SIM LTE slots AT&T, T-Mobile compatible
Snapdragon 615 Octa-core processor
16GB built-in storage
128GB microSDHC removable expandable storage
2GB of RAM
5.5-inch IPS LCD Corning Gorilla Glass screen
1920 x 1080p
13MP front 5MP back cameras
Aircraft-grade alumimium metal construction
FM Radio
3000 maH battery

CONs:

No NFC (No Android Pay?)
No WiFi Calling (this seems to be carrier specific)
No 5 GHz AC WiFi (only 802.11 BGN)
Older version of Android Lollipop 5.1.1 (through there have been news of proposed Marshmallow 6.0 update)
No USB Type C (stills uses microUSB therefore no fast-charging)
16GB built-in storage is so limited (but the 128GB expandable helps)

Final Comments:

Again for the price of $199 USD Huawei gives more than enough specs.
Many dislike the EMUI skin/launcher, but it does not bother me.
You can always install another skin/launcher.
TWRP 3.0 and Root is already available and installable.
Hopefully Custom ROMs will be out soon.
The Fingerprint scanner is very good and gives a faster response than the iPhone and HTC A9.
I have yet to test and see if it works in purchasing apps.
I will update the review as soon as I find out.","4.0 out of 5 stars"
"48","http://www.amazon.com/Honor-5X-Metal-Unlocked-Smartphone/product-reviews/B019O8YX1K/ref=cm_cr_arp_d_paging_btm_48?ie=UTF8&pageNumber=48&sortBy=recent","Love it so fun to use best phone con 200$","5.0 out of 5 stars"
"31","http://www.amazon.com/Honor-5X-Metal-Unlocked-Smartphone/product-reviews/B019O8YX1K/ref=cm_cr_arp_d_paging_btm_31?ie=UTF8&pageNumber=31&sortBy=recent","Amazing !!!!!!! People think this is a 600$ phone","5.0 out of 5 stars"
"24","http://www.amazon.com/Honor-5X-Metal-Unlocked-Smartphone/product-reviews/B019O8YX1K/ref=cm_cr_arp_d_paging_btm_24?ie=UTF8&pageNumber=24&sortBy=recent","I ordered thisphone weeks ago and was forced to return it because one of the two slots for cards would not open.  As usual Amazon wasted no time and the following day I got a replacement.
This one seems to work well and considering the price it seems to be an excellent buy.
It does everything I really need while getting a number of compliments on its appearance.
For a fine looking instrument and the reasonable price I don't think anyone could go wrong selecting this phone","4.0 out of 5 stars"
"18","http://www.amazon.com/Honor-5X-Metal-Unlocked-Smartphone/product-reviews/B019O8YX1K/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&pageNumber=18&sortBy=recent","I ordered for a Silver color Honor 5X and for my surprise, I have received a phone with White Color Front & Gold Color Back. I see a huge difference between the Honor 5X Silver color phone pictures vs. the phone I have received. In my eyes, this is gold color back (pictures attached).","2.0 out of 5 stars"
