pagination,pagination-href,body,Stars
"84","http://www.amazon.com/Motorola-Moto-3rd-Generation-Unlocked/product-reviews/B00ZQVSKS2/ref=cm_cr_arp_d_paging_btm_84?ie=UTF8&pageNumber=84&sortBy=recent","Excellent product. Exceeds my expectations. Very good camera, both indoors and night mode. Excellent fluidity.","5.0 out of 5 stars"
"108","http://www.amazon.com/Motorola-Moto-3rd-Generation-Unlocked/product-reviews/B00ZQVSKS2/ref=cm_cr_arp_d_paging_btm_108?ie=UTF8&pageNumber=108&sortBy=recent","nice phonne for a cheaper price!!","5.0 out of 5 stars"
"55","http://www.amazon.com/Motorola-Moto-3rd-Generation-Unlocked/product-reviews/B00ZQVSKS2/ref=cm_cr_arp_d_paging_btm_55?ie=UTF8&pageNumber=55&sortBy=recent","I received this phone for Christmas. It's been great so far. I even already received my Marshmallow update. The battery life is great especially compared to my last phone that I had for several years, and the camera is miles better than what I usually see on an Android. I like the removable back plate that you can change out if you wish. The phone being water-resistant is great, too. This does not mean you should wash it in the sink, but if it's raining or you set it in some condensation from your cup, it's gonna be fine as long as you have secured the back plate.

All in all, I'm pleased with this phone and I hope it continues to perform well.

Update: I don't know if I ended up with a dud, but for some reason this phone started running super slow, almost to the point of not being usable. I hate to restart it every day in order to use it as a regular phone (texting/phone calls). The audio playback was weird. It would only play a few seconds of a song, or any audio, skip ahead, play a few more seconds, unless I re-winded it back to the beginning. It was bizarre and annoying especially while driving. Sometimes it would just restart itself. I had a 32gB SD card that worked wonderfully for about 3 weeks. Then it randomly wouldn't read it. I would turn off my phone, remove the card, turn my phone back on, replace the card and it would work for about 10 seconds; then my phone would restart and no longer read that an SD card was inserted. So any apps I moved would not open and therefore I couldn't move them back to my phone. I really hope this was simply single bad phone, but I am forced to change my rating and hope you guys have much better luck.","2.0 out of 5 stars"
"16","http://www.amazon.com/Motorola-Moto-3rd-Generation-Unlocked/product-reviews/B00ZQVSKS2/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&sortBy=recent","Awesome phone for international use. Better than the 2nd generation.","5.0 out of 5 stars"
"31","http://www.amazon.com/Motorola-Moto-3rd-Generation-Unlocked/product-reviews/B00ZQVSKS2/ref=cm_cr_arp_d_paging_btm_31?ie=UTF8&pageNumber=31&sortBy=recent","Moto G 3rd Gen survived a plunge into the water with it's Advanced water resistance. It went down under, and it's not 6 feet under!","4.0 out of 5 stars"
"121","http://www.amazon.com/Motorola-Moto-3rd-Generation-Unlocked/product-reviews/B00ZQVSKS2/ref=cm_cr_arp_d_paging_btm_121?ie=UTF8&pageNumber=121&sortBy=recent","fit to the price","5.0 out of 5 stars"
"91","http://www.amazon.com/Motorola-Moto-3rd-Generation-Unlocked/product-reviews/B00ZQVSKS2/ref=cm_cr_arp_d_paging_btm_91?ie=UTF8&pageNumber=91&sortBy=recent","This phone is sturdy, bright, and fun to use. I really like it. I did my research before I bought this phone and it paid off. When I saw this phone on multiple ""Best Of"" lists for mid-range phones, I decided to buy it and was not disappointed. I even bought this phone for my father who was weaning himself off of an iPhone 5. He loves it too.

The phone is also supposed to be waterproof. I did accidentally drop it into some water while camping. I took it out of the water, wiped it off, and it was fine.

Downside: I have not found a good case for this phone. I visited multiple phone carrier stores and cell phone accessory kiosks, and no one carried anything for the 3rd Gen. Moto G.","5.0 out of 5 stars"
"126","http://www.amazon.com/Motorola-Moto-3rd-Generation-Unlocked/product-reviews/B00ZQVSKS2/ref=cm_cr_arp_d_paging_btm_126?ie=UTF8&pageNumber=126&sortBy=recent","I like it!","5.0 out of 5 stars"
"10","http://www.amazon.com/Motorola-Moto-3rd-Generation-Unlocked/product-reviews/B00ZQVSKS2/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&sortBy=recent","Very pleased with the responsiveness and quality.  As advertised; quality and overall reviews are as described. It's a great phone based upon having numerous ""smart"" phones in the past.  Employment issued phones, including iPhones, HTC and other Motorola models, were no more responsive than this 3rd gen Moto G. This may be the last ""Moto G"" before Lenova branding occurs, but I am totally satisfied.","5.0 out of 5 stars"
"54","http://www.amazon.com/Motorola-Moto-3rd-Generation-Unlocked/product-reviews/B00ZQVSKS2/ref=cm_cr_arp_d_paging_btm_54?ie=UTF8&pageNumber=54&sortBy=recent","Very happy with Moto G 3rd gen.  don't do lots of web, but speed seems to be very good, especially for the price.  Phone's features seem to be lots of bang for your buck.","5.0 out of 5 stars"
