pagination,pagination-href,body,Stars
"53","http://www.amazon.com/Moto-Unlocked-Smartphone-White-Warranty/product-reviews/B013SGP1WE/ref=cm_cr_arp_d_paging_btm_53?ie=UTF8&pageNumber=53&sortBy=recent","The MXP is absolutely stunning. It puts a customer in control. Carrier unlocked, pure Google Android experience without the annoying bloatware, manufacturer, and carrier  apps. Non-intrusive Motorola features which are extremely helpful but your choice to turn on or off, expandable storage up to 128GB via SDcard, ergonomic design built solid, large vibrant display, front facing stereo speakers with awesome sound quality, and a 21 megapixel camera, if people think it falls short, its only the software and LCD viewing display. Put the picture on a high density 1080p LED display, you'll understand. Pixels matter. Battery life is what it is, not the best but not the worst. Depending on how your going to use the device, it Will always be a matter of contention.
Athough like many have stated, amoled would arguably have been a better choice. Personally, I would liked to have seen the power and volume buttons reversed, but hey, not a deal breaker, you quickly adapt. For the tech savvy, you even have the support by Motorola to unlock the bootloader, although you loose your warranty and rightly so for good reason.
This Moto X Pure is fantastic in so many respects that any shortcomings are far outweighed by its benefits. You can't go wrong!","5.0 out of 5 stars"
"8","http://www.amazon.com/Moto-Unlocked-Smartphone-White-Warranty/product-reviews/B013SGP1WE/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&sortBy=recent","Great phone!!","5.0 out of 5 stars"
"53","http://www.amazon.com/Moto-Unlocked-Smartphone-White-Warranty/product-reviews/B013SGP1WE/ref=cm_cr_arp_d_paging_btm_53?ie=UTF8&pageNumber=53&sortBy=recent","What can I say this is the second smartphone that I have ever owned the first was a Samsung S3 which I enjoyed. This time decided to get an unlocked phone and not have all the extra stuff that comes with bought phone from provider or what the whole world flocks to. Must say I really enjoy having a straight up Android phone, this phone is solid and comes with some nice features. Will enjoy exploring all the functions that it has to offer. Plus you can't beat the price!","5.0 out of 5 stars"
"72","http://www.amazon.com/Moto-Unlocked-Smartphone-White-Warranty/product-reviews/B013SGP1WE/ref=cm_cr_arp_d_paging_btm_72?ie=UTF8&pageNumber=72&sortBy=recent","Best Android Phone to Date!","5.0 out of 5 stars"
"77","http://www.amazon.com/Moto-Unlocked-Smartphone-White-Warranty/product-reviews/B013SGP1WE/ref=cm_cr_arp_d_paging_btm_77?ie=UTF8&pageNumber=77&sortBy=recent","PSA this phone is very PICKY with third party quick charge 2.0 fast chargers, almost 80% don't work as in it doesn't even charge. BEWARE

Hate how they didn't give us the option to get a smaller version, not everyone wants phablets. But that's not even what I don't like about this phone. First of all the size wasn't that bad, it's about the same size as a G4 and size is decent. But i'd rather have a bit smaller and shorter phone. While the specs seem great about this phone, don't be fooled by reviews online. The front facing speakers were great, def better than the mono speakers most phones come with. Boom speakers from htc are still better but these ones were LOUD but the quality isn't that great but it's still better than mono speakers. Camera is not as good as samsung or lg and a bunch of others but it's def GOOD enough, but great. Overall I liked the camera and especially the Moto Skin, 2nd BEST to stock android. Ok so what I hate is the Quad HD display, quad hd is such a waste, the naked eye can't even tell. So the battery turned out being BELOW AVERAGE....even my htc M8 even lasted just as long and that's 2 years old. What killed this device is the WASTEFUL QUAD HD DISPLAY and the BATTERY and also the size for some people.","2.0 out of 5 stars"
"78","http://www.amazon.com/Moto-Unlocked-Smartphone-White-Warranty/product-reviews/B013SGP1WE/ref=cm_cr_arp_d_paging_btm_78?ie=UTF8&pageNumber=78&sortBy=recent","This is a great phone! It even works on Verizon's net work too!!!!!","5.0 out of 5 stars"
"27","http://www.amazon.com/Moto-Unlocked-Smartphone-White-Warranty/product-reviews/B013SGP1WE/ref=cm_cr_arp_d_paging_btm_27?ie=UTF8&pageNumber=27&sortBy=recent","As close to having a nexus phone that you can get while still having an MicroSD slot. And free of carrier bloatware.","4.0 out of 5 stars"
"87","http://www.amazon.com/Moto-Unlocked-Smartphone-White-Warranty/product-reviews/B013SGP1WE/ref=cm_cr_arp_d_paging_btm_87?ie=UTF8&pageNumber=87&sortBy=recent","I'm upgrading from a Lumia 1020 phone that barely had a year of use after I left the Galaxy S4 Mini, AKA the worst Galaxy phone ever. Great phone as well, (best camera of any phone, hands down, no contest with this nor iPhone 6s/Galaxy 6) but Windows Phone was poorly implemented, no SD slot and poor battery performance. This phone is proving to be much more reliable.

The build quality of the phone is outstanding, though the corners can be a bit troublesome to some people, and the huge screen can take a bit getting used to. I have the bamboo back, which I thought was going to be annoying or uncomfortable, but the wood is actually reasonably soft and comfy. To be honest, however, I would have preferred the leather or plastic backs, but the phone is so great that they were out of stock at the time and I chose to secure the phone first.

From opening the box, the phone proves to be a great experience. The inside of the box is very cozy, holding the phone in one slot, and a protective case (though you'd do better buying a rugged case from Amazon instead), power cable, and such in the other. The phone comes with a key thing to open the SIM card/SD card combo slot (it uses a nano SIM card by the way, so if you're upgrading from a micro SIM card phone like the aforementioned Lumia you need a new SIM), which works great. The SIM and SD are a bit meh to insert, but not difficult.

The phone immediately picks up your SIM card and sets up/works great and immediately functions. Absolutely no bloatware or cheap/carrier-specific apps, except for one or two Motorola apps which actually work great for your needs. The specs and screen are both amazing too: the videos look outstanding (Netflix at least. Youtube is really meh) and the colors are accurately reflected. What I love about the phone is the super loud speakers! They don't compromise sound quality over size and the quality is very clear too.

My only gripe with the phone is with Motorola's stock camera app. For 4K videos and the like, it works great. For photos, it's awful. Just awful. Absolutely little to no control over focus, manual controls, and the like. And the macro/focusing interface is among the worst. However, the workaround is really simple: find a different, better camera app. I've tried quite a few, but so far Pixlr is the most consistent, delivering outstanding lighting and image quality and great use of the flash. By the way, unlike most phones, the selfie camera has a flash, so yay I guess?

To summarize, super cool phone and actually preferrable in many regards over Galaxys and iPhones. Just get a different camera app.","5.0 out of 5 stars"
"23","http://www.amazon.com/Moto-Unlocked-Smartphone-White-Warranty/product-reviews/B013SGP1WE/ref=cm_cr_arp_d_paging_btm_23?ie=UTF8&pageNumber=23&sortBy=recent","So far so good.

I am coming from the typical Verizon phone line, so to finally have a near-stock phone is quite amazing.  The biggest change has been the speed thanks in part to being able to remove any of the software that I want.  I was also very happy that when I took it to Verizon to be activated that my monthly bill went down, and now I am on a month-to-month plan.","5.0 out of 5 stars"
"39","http://www.amazon.com/Moto-Unlocked-Smartphone-White-Warranty/product-reviews/B013SGP1WE/ref=cm_cr_arp_d_paging_btm_39?ie=UTF8&pageNumber=39&sortBy=recent","its moto/nexus or nothing.. best android phone. period","5.0 out of 5 stars"
"63","http://www.amazon.com/Moto-Unlocked-Smartphone-White-Warranty/product-reviews/B013SGP1WE/ref=cm_cr_arp_d_paging_btm_63?ie=UTF8&pageNumber=63&sortBy=recent","One of the best phones I have owned, and yet affortable. Fast and no bloat-wear. I simply love the bamboo backing. Thanks Moto","5.0 out of 5 stars"
"7","http://www.amazon.com/Moto-Unlocked-Smartphone-White-Warranty/product-reviews/B013SGP1WE/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&sortBy=recent","I've been using cell phones since 1993, have gone through many of them. This is the best yet. You absolutely do not need to spend more than this on a phone, if you do, you're wasting your money and buying for status only. I laugh at the $700.00 HTC 10, you'd have to be out of your mind to spend that much on a phone that does nothing more than the Moto X Pure Edition.","4.0 out of 5 stars"
"94","http://www.amazon.com/Moto-Unlocked-Smartphone-White-Warranty/product-reviews/B013SGP1WE/ref=cm_cr_arp_d_paging_btm_94?ie=UTF8&pageNumber=94&sortBy=recent","10/10","5.0 out of 5 stars"
"18","http://www.amazon.com/Moto-Unlocked-Smartphone-White-Warranty/product-reviews/B013SGP1WE/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&pageNumber=18&sortBy=recent","I was sooooo disappointed in the performance and look of the phone. Every review that I read, BRAGGED about the picture quality, sharp colors. I was like, ""What phone are they talking about?"" Maybe marketers for phone. Anyway, the picture quality was poor. The phone froze on me many times as I set it up.  The icons were bland and hard to find. Very disappointed. Sending back for refund. Glad zi hung onto my Samsung S5.","1.0 out of 5 stars"
"26","http://www.amazon.com/Moto-Unlocked-Smartphone-White-Warranty/product-reviews/B013SGP1WE/ref=cm_cr_arp_d_paging_btm_26?ie=UTF8&pageNumber=26&sortBy=recent","I owned each of the last few Motorola iterations and after returning the Moto X Pure, I will go over a few topics.  For now, I decided to stick with my Nexus 6 as my daily phone and I have a Moto X 2014 (paid $195 unlocked Best Buy Clearance and bought as a backup). Here are a few topics I found important and I'll explain why I am going to return the Moto X Pure. I also paid $299 during the Motorola sale period. I do think the phone is worth that price for sure if you have an older phone but not as an upgrade over the Nexus 6 or even the Moto X 2014 for that matter.

1) Build Quality.  I don't know exactly what it is, but the Moto X Pure felt more cheaply built than either my Nexus 6 or my Moto X 2014.  It just didn't seem as tightly put together, the bamboo back felt more flimsy than on my bamboo Moto X 2014 and the metal frame felt cheaper too.  The kicker for me was the bamboo was miscut and there was a gap between the finger/camera metal section and the back cover itself.  It seems that the build quality took a hit with the Moto X Pure. If I were to purchase again, I think I would opt for the silicon back. Of the three, maybe because of the smaller size the Moto X 2014 seems the more premium model.

2) Camera - Moto X Pure wins this hands down especially in lower light.  Also the details in photos was much sharper and the phone wasn't searching as much.  It was one of the reasons I wanted to give the Moto X a shot, but it wasn't as big of an improvement as I thought it might be.

3) Screen LCD vs Amoled - Initially, I found myself gravitating more towards the LCD panel.  Having been a previous iPhone user (I prefer stock android) the Moto X Pure did remind me of the iPhone screen quite a bit, but in bright light I didn't notice a huge upgrade from the Nexus 6, which surprised me.  In the evening, when I am reading I do prefer the amoled screen because it does not stay as bright, so I opted to keep my Nexus 6. I think this is a personal preference however.

4) Battery Life - Nexus 6 hands down. I lost about 12-15% more battery running the exact same youtube video on the Moto X Pure than I did on the Nexus 6.  Both were also running Marshmallow. The battery on the Moto X Pure also ran hotter than both the Nexus 6 and the Moto X 2014

5) Feel in Hand - Moto Dimple - I thought this would be an area that the Moto X Pure would easily win, but Motorola decided to LOWER the dimple and make it smaller.  It DOES NOT WORK nearly as well as the dimple on my Moto X 2014 or my Nexus 6.  The lower placement on the dimple of the Moto X Pure makes the phone feel top heavy. It just doesn't feel as natural as the other two.  I have large hands and the Moto X Pure felt thinner than my Nexus 6 of course, but the Nexus 6 felt more comfortable for me because of the higher dimple placement, so I felt like I have more control over the phone. The Pure edition placement does not work for me. I also like the separation between the camera and the dimple.  On the Moto X Pure they are bridged, which made it easier to tell them apart, but again the dimple is too low.

6) Bluetooth Connectivity - Okay the Moto X 2014 wins this one hands down. In fact, I've taken my Moto X 2014 out to exercise quite a bit more lately because it is smaller thus easier to stick in my pocket and forget about it, but it also NEVER cuts out when I have my LG Bluetooth headset on.  I thought my Nexus 6 was bad, but the Moto X Pure cut out constantly. It was the worse of the three.  Not sure what that's all about, but it was horrible.

7) Concluding thoughts - I tried to cover things that were not in Chris W.'s review so hopefully this helps. Now, is the Pure Edition worth the upgrade from the Nexus 6 or Moto X 2014 - personally at $299 it might be from the Moto X 2014, but not from the Nexus 6.  If you have something older it is a good buy, but I would probably opt to pay a bit more for the Nexus 6P (currently $425). At $299 (currently) for both the Moto Pure and the Nexus 5X I would go for the Pure for sure as well.","3.0 out of 5 stars"
"13","http://www.amazon.com/Moto-Unlocked-Smartphone-White-Warranty/product-reviews/B013SGP1WE/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&sortBy=recent","It does everything I want and then some. The camera is awesome. I switched from iPhone. This phone is way better. I've always been the type to outright buy my phone's because i hate the idea of a contract for cellular service. I paid for my iPhone in full and the glass broke for the last time and I was unwilling to replace it so I began looking for other options. I'm convinced iPhone is rigged to keep people buying screens and after my screen was replaced the first time it never responded as quick and froze offen. Surely someone has a phone comparable or better than iPhone without paying $700-$800. I found this phone during my research. I loved the look and I wanted to know more. I read rave reviews. I found it on Amazon and decided to buy it. The Ask Google feature is much better than siri. Ask goggle answers my questions 99.9% of the time. Siri was more like 60% and siri would have me laughing sometimes because she was no where near right. I wished I would've made this switch a long time ago!","5.0 out of 5 stars"
"71","http://www.amazon.com/Moto-Unlocked-Smartphone-White-Warranty/product-reviews/B013SGP1WE/ref=cm_cr_arp_d_paging_btm_71?ie=UTF8&pageNumber=71&sortBy=recent","Amazing so far, a great cellphone!","5.0 out of 5 stars"
"90","http://www.amazon.com/Moto-Unlocked-Smartphone-White-Warranty/product-reviews/B013SGP1WE/ref=cm_cr_arp_d_paging_btm_90?ie=UTF8&pageNumber=90&sortBy=recent","despite some drawbacks and weaknesses, moto x still definitely is the best bang for the buck phone so far","5.0 out of 5 stars"
"26","http://www.amazon.com/Moto-Unlocked-Smartphone-White-Warranty/product-reviews/B013SGP1WE/ref=cm_cr_arp_d_paging_btm_26?ie=UTF8&pageNumber=26&sortBy=recent","Excellent phone. Though, when it gets hot, the touch screen becomes a little dysfunctional.","5.0 out of 5 stars"
