pagination,pagination-href,body,Stars
"18","http://www.amazon.com/Samsung-Galaxy-Factory-Unlocked-Phone/product-reviews/B01CJU8FV4/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&pageNumber=18&sortBy=recent","Got from sprint not amazon. I really like the phone. The camera opens fast, love the SD card slot, very nice!

The issues I have are the sensitivity of the buttons on the bottom for going back and seeing screens, the keyboard on swipe not even getting close to words I'm saying, and the sensitivity of the screen in general. It's too sensitive.","4.0 out of 5 stars"
"15","http://www.amazon.com/Samsung-Galaxy-Factory-Unlocked-Phone/product-reviews/B01CJU8FV4/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&sortBy=recent","Bought this phone thru Verizon and I am completely satisfied. Had the S6 before and was satisfied with that. Upgraded to S7 in the gold and it is beautiful.!! The only thing that I am disappointed with is some of the apps in store are not supported with the updated version, i.e. font apps. But everything else is great..love the camera especially!!!☺  Great phone and would definitely recommend!!!","5.0 out of 5 stars"
"3","http://www.amazon.com/Samsung-Galaxy-Factory-Unlocked-Phone/product-reviews/B01CJU8FV4/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&sortBy=recent","Very Impressed by the phone. The price was cheaper on Amazon than in store. Havent had no issues with it since I bought it a few months ago. Camera is outstanding","5.0 out of 5 stars"
"6","http://www.amazon.com/Samsung-Galaxy-Factory-Unlocked-Phone/product-reviews/B01CJU8FV4/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&sortBy=recent","I got the package on May 3rd, and everything was great. I transferred all of my contacts, apps, pics, everything. Things seemed like they were working out fine, when suddenly the screen just went completely black while the phone was at 40 percent. I haven't had this phone 30 days, and with no warranty there's no hope of fixing this anytime soon. The experience was nice for the whole 11 days I had it. :(","1.0 out of 5 stars"
"14","http://www.amazon.com/Samsung-Galaxy-Factory-Unlocked-Phone/product-reviews/B01CJU8FV4/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&sortBy=recent","The GS7 is an awesome device.  However, if you're getting the international G930F, know that Samsung pay won't work and Android Pay will be limited.  In addition, if you're expecting faster updates from Samsung, just know they have the G930F extremely fragmented by country and specific firmware to each country... so not all will receive updates as fast as you might expect for a ""carrier free"" device. That said, the Exynos processor on the G930F is superior to the Snapdragon processor in the US variant, as is the battery life.","4.0 out of 5 stars"
"12","http://www.amazon.com/Samsung-Galaxy-Factory-Unlocked-Phone/product-reviews/B01CJU8FV4/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&sortBy=recent","Comes with an International charger and American adapter. I would not trust adapters with such expensive electronics. Otherwise no complaints.","4.0 out of 5 stars"
"13","http://www.amazon.com/Samsung-Galaxy-Factory-Unlocked-Phone/product-reviews/B01CJU8FV4/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&sortBy=recent","I did not buy it from Amazon but Sprint store. Also may be I am unlucky, bought 2 + 2 free from sprint 3 weeks ago. my daughter's phone cracked (Front-bottom right-see attached photo); even though it was covered by glass protector still cracked.  My daughter said she put it into her teddy bear bag and she did not bumped her bag or any destructive actions that cause the crack.","1.0 out of 5 stars"
"20","http://www.amazon.com/Samsung-Galaxy-Factory-Unlocked-Phone/product-reviews/B01CJU8FV4/ref=cm_cr_arp_d_paging_btm_20?ie=UTF8&pageNumber=20&sortBy=recent","I have the Sprint version of this phone in gold and black. I am comparing it to the Note 5 here youtu.be/h4KePwhAmEI and you can see the great design of this phone. The S7 is literally a Galaxy Note 5 shot with a shrink ray. The curved back glass on the phone fits in your palms perfectly compared to the S6. It has impressive design and refined polish throughout.

Best of all you now have removable storage back and I added a 128gb card with no issues. It's too bad the phone didn't come out in 64gb and 128gb. I think Samsung made a mistake going with this route and they should have at least offered it to consumers. The camera is indeed impressive even if it dropped megapixels. It went down to 12 but the lens is amazing. I tested multiple photos and videos with this and the Note 5 and even though it was less megapixels it consistently took better pictures. I was highly impressed.

There was no lag or slowdown in anything I tried. The battery life is way better than the S6 and with doze in Marshmellow, battery life is very solid. An even better trick to getting amazing battery life is with an app that removes all bloatware without having to root or trip knox.  I use this youtu.be/ct9K7iRifUg and my battery life is at least 25% better and longer in real world use.

Highly recommend this phone.","5.0 out of 5 stars"
"","","This phone was everything I could have asked for. the battery is big enough to support the whole day. the camera is really awesome. the pictures are really beautiful taken by this phone. the phone also run pretty quick.","5.0 out of 5 stars"
"2","http://www.amazon.com/Samsung-Galaxy-Factory-Unlocked-Phone/product-reviews/B01CJU8FV4/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&sortBy=recent","lousy device won't let me import my pictures to my PC.  my phone from 2011 could do that.  Samsung = incompetence to the next level","1.0 out of 5 stars"
"18","http://www.amazon.com/Samsung-Galaxy-Factory-Unlocked-Phone/product-reviews/B01CJU8FV4/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&pageNumber=18&sortBy=recent","Reference links at bottom.
If you live in the U.S., skip the unlocked international version and get the U.S. Version, it is a better phone. The international version uses Samsung's in house Exynos 8890 processor, which is a tad slower in CPU performance when compared to the U.S. versions Qualcomm Snapdragon 820. It also has issues with overheating. It is significantly slower in GPU performance, leading to less smooth animations and a few hiccups in everyday performance. In the past, the Exynos has been the faster of the two, but this year, the snapdragon 820 is a better processor. It is also optimized for use on American networks, whereas the Exynos version is optimized for European and other international networks. You don't save much money, and chances are, you won't switch networks, so it won't be a big deal. Also, carriers can usually unlock your phone. Also, I usually don't buy insurance on phones, but I made an exception for my S7, as replacing the screen or other internals is not as easy or cheap as with other phones. With most phones, when you crack your screen, you just replace the glass, however, with this particular Super AMOLED display, you must replace all of the components, not just the glass, and doing it yourself will most likely lead to more damage. I recommend Samsung's own protection plus plan, it is $129 (USD) for two years, with an inexpensive $79 deductible. With one claim, that is cheaper than square trade,many virtually every other protection plan out there. I would certainly give the US version 5 stars, for bringing back almost all features that were missing from the S6, and giving it a much larger battery and better camera. This phone is easily the most powerful phone on the market. It flies through daily tasks, and manages ram better than ever before. The battery life is phenomenal, easily an all day phone. I thought the always on display would be gimmicky and I would turn it off instantly, but I was pleasantly surprised with its efficiency and usefulness. It turns off when face down, or in your pocket, and automatically adjusts its brightness to match its surroundings. It is fantastic in my car mount, as i can easily check the time, without worrying about setting my radio's clock, or turning on my phone. It is not bright enough to disturb my sleep, and I can easily check the time in the middle of the night. Overall, a fantastic phone, I switched from iPhone, and will never go back. International version is a 4.5 star product, while the US version is 5 star, if you live in the US. I recommend this phone to literally anyone, it is simple enough for my grandma, and can be high,y customized if you desire. As easy as an iPhone, and as complex as an android, at the same time.
[...]","4.0 out of 5 stars"
"5","http://www.amazon.com/Samsung-Galaxy-Factory-Unlocked-Phone/product-reviews/B01CJU8FV4/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&sortBy=recent","Came as expected, working perfectly","5.0 out of 5 stars"
"17","http://www.amazon.com/Samsung-Galaxy-Factory-Unlocked-Phone/product-reviews/B01CJU8FV4/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&pageNumber=17&sortBy=recent","Watch out. Had the phone less than a week and the back glass cracked without being dropped.","2.0 out of 5 stars"
"20","http://www.amazon.com/Samsung-Galaxy-Factory-Unlocked-Phone/product-reviews/B01CJU8FV4/ref=cm_cr_arp_d_paging_btm_20?ie=UTF8&pageNumber=20&sortBy=recent","Garbage, same design, its an S6.5, the camera still sticks out and ain't flush.","1.0 out of 5 stars"
"11","http://www.amazon.com/Samsung-Galaxy-Factory-Unlocked-Phone/product-reviews/B01CJU8FV4/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&sortBy=recent","is the best cellphone on the world","5.0 out of 5 stars"
"4","http://www.amazon.com/Samsung-Galaxy-Factory-Unlocked-Phone/product-reviews/B01CJU8FV4/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&sortBy=recent","Good price","5.0 out of 5 stars"
