pagination,pagination-href,body,Stars
"46","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_46?ie=UTF8&pageNumber=46&sortBy=recent","Can this phone works with at&t","5.0 out of 5 stars"
"52","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_52?ie=UTF8&pageNumber=52&sortBy=recent","I'm in love with this phone! It's everything I ever wanted in a smartphone. It has a nice display screen, with the best camera ever! The overall quality is just amazing and I recommend it to anyone that is looking to upgrade their smartphones!!","5.0 out of 5 stars"
"56","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_56?ie=UTF8&pageNumber=56&sortBy=recent","Phone was awesome. Screen, sound, Battery and functions all were aces. Replaced a Google Moto phone that was not a good story. Bigger that what I replaced, but getting old & easier to see & type. Only issues so far...1) was able to transfer old contacts and information using Google account...Worked like a charm. Did not have as much luck with Samsung & Motorola transfer aps. Have not figured out a way to transfer the music & photos, but am working on it.
 2) The phone was advertised as ""UNLocked"" I plugged-in the old sim card from my past phone (RIP) & I was able to use it immediately as a phone, but it would not use data functions reliably & finally quit altogether. I called my Carrier  (Consumer Cellular-GREAT) and they tried to walk me through a network change...No luck.. the phone was set for a Cingular account & we could not determine how to change it. I contacted the seller, and after 2 tries, was sent correct network information & ""how-to"" links to change the carrier.
It was more than I had ever done to make a phone work, but for the price, if you can get correct network settings for your data, it is a great phone.
Seller was responsive.","4.0 out of 5 stars"
"82","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_82?ie=UTF8&pageNumber=82&sortBy=recent","I absolutely love this phone! I am glad I made the  UPGRADE from the LG Volt...The size is perfect and the screen quality is beautiful...The phone doesn't lag at all. The battery life is great! Great phone for a low price...","5.0 out of 5 stars"
"13","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&sortBy=recent","Greatt","5.0 out of 5 stars"
"6","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&sortBy=recent","I just got mine yesterday and it is an excellent choice for a phone. I absolutely love it. Simply the best smartphone i ever owned.","5.0 out of 5 stars"
"8","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&sortBy=recent","I don't  have to take two cell phone  around  wherever I go I could just put my sim cards in one phone","3.0 out of 5 stars"
"62","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_62?ie=UTF8&pageNumber=62&sortBy=recent","Bought 2, one for myself and boyfriend freezes like crazy. Numerous restarts before it functions at  times","3.0 out of 5 stars"
"31","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_31?ie=UTF8&pageNumber=31&sortBy=recent","Product is excellent, very fast, only cons is indoor pics are not that clear","4.0 out of 5 stars"
"72","http://www.amazon.com/Samsung-Unlocked-Smartphone-International-Version/product-reviews/B00OKU5RPE/ref=cm_cr_arp_d_paging_btm_72?ie=UTF8&pageNumber=72&sortBy=recent","Good","5.0 out of 5 stars"
