pagination,pagination-href,body,Stars
"96","http://www.amazon.com/Apple-iPhone-Factory-Unlocked-Phone/product-reviews/B00NQGP42Y/ref=cm_cr_arp_d_paging_btm_96?ie=UTF8&pageNumber=96&sortBy=recent","So far it is working very well","5.0 out of 5 stars"
"127","http://www.amazon.com/Apple-iPhone-Factory-Unlocked-Phone/product-reviews/B00NQGP42Y/ref=cm_cr_arp_d_paging_btm_127?ie=UTF8&pageNumber=127&sortBy=recent","excelent","5.0 out of 5 stars"
"75","http://www.amazon.com/Apple-iPhone-Factory-Unlocked-Phone/product-reviews/B00NQGP42Y/ref=cm_cr_arp_d_paging_btm_75?ie=UTF8&pageNumber=75&sortBy=recent","ok","4.0 out of 5 stars"
"83","http://www.amazon.com/Apple-iPhone-Factory-Unlocked-Phone/product-reviews/B00NQGP42Y/ref=cm_cr_arp_d_paging_btm_83?ie=UTF8&pageNumber=83&sortBy=recent","Bought it in space gray but turns out I received in silver. The seller was super nice and even offered to exchange at no cost. I was ok with that (i dont mind about the coloras long as the phone works)so I kept it anyways","5.0 out of 5 stars"
"80","http://www.amazon.com/Apple-iPhone-Factory-Unlocked-Phone/product-reviews/B00NQGP42Y/ref=cm_cr_arp_d_paging_btm_80?ie=UTF8&pageNumber=80&sortBy=recent","good","3.0 out of 5 stars"
"64","http://www.amazon.com/Apple-iPhone-Factory-Unlocked-Phone/product-reviews/B00NQGP42Y/ref=cm_cr_arp_d_paging_btm_64?ie=UTF8&pageNumber=64&sortBy=recent","The great thing about buying an unlocked phone is that you never have to worry about your contract again, and can switch carriers whenever you see a better deal elsewhere. Also using the phone in other countries is no issue!

This is my 2nd iPhone , coming from an iPhone 5.
I'm an Apple enthusiast so this was an obvious choice for me.

It is fast opening and closing apps, websites, etc. but not a huge difference to make me suggest to hurry up and buy it.
I only got an iPhone 6 because my daughter was in need of her first iPhone, so it made sense to give her my old iPhone 5.
The screen response is perfect and the thumb print works 100% of the time and is really convenient to get into the phone.","5.0 out of 5 stars"
"132","http://www.amazon.com/Apple-iPhone-Factory-Unlocked-Phone/product-reviews/B00NQGP42Y/ref=cm_cr_arp_d_paging_btm_132?ie=UTF8&pageNumber=132&sortBy=recent","I was so excited to buy my first iPhone (I have the 6)... And well I definitely miss my GS5. I'm not saying iPhone isn't a good phone; it just isn't Amazing. It is fluid, solid; but basic. Great for older adults who aren't very tech savvy. I feel as though I switched from a Benz to a top of the line Toyota lol iTunes and the finger print scanner are awesome. I mean it's instant! Much better than S5. However; not many features for camera. No split screen for multi-tasking; which I used very much on my GS5. Email seems to have not progressed for Apple. I can compare because I've had iPads. It is just very generic. Sound quality while talking is a bit muffled. No option to decrease volume of touch sounds without decreasing volume of phone overall. These are things I've noticed after having this phone for 2 weeks. Maybe I'll learn to love it over the next 2 years.","3.0 out of 5 stars"
"44","http://www.amazon.com/Apple-iPhone-Factory-Unlocked-Phone/product-reviews/B00NQGP42Y/ref=cm_cr_arp_d_paging_btm_44?ie=UTF8&pageNumber=44&sortBy=recent","I am happy with this phone especially the finger scan. You can take 30+ picture by just holding the clicker.","5.0 out of 5 stars"
"21","http://www.amazon.com/Apple-iPhone-Factory-Unlocked-Phone/product-reviews/B00NQGP42Y/ref=cm_cr_arp_d_paging_btm_21?ie=UTF8&pageNumber=21&sortBy=recent","Basically as described , but within a couple weeks the front screen literally came off.","2.0 out of 5 stars"
"123","http://www.amazon.com/Apple-iPhone-Factory-Unlocked-Phone/product-reviews/B00NQGP42Y/ref=cm_cr_arp_d_paging_btm_123?ie=UTF8&pageNumber=123&sortBy=recent","Love it !","5.0 out of 5 stars"
"5","http://www.amazon.com/Apple-iPhone-Factory-Unlocked-Phone/product-reviews/B00NQGP42Y/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&sortBy=recent","Nice phone very good condition good battery backup","5.0 out of 5 stars"
"63","http://www.amazon.com/Apple-iPhone-Factory-Unlocked-Phone/product-reviews/B00NQGP42Y/ref=cm_cr_arp_d_paging_btm_63?ie=UTF8&pageNumber=63&sortBy=recent","Works like an iPhone should. Pretty hard to screw them up... well, pretty hard to screw them up more than apple is.","4.0 out of 5 stars"
"52","http://www.amazon.com/Apple-iPhone-Factory-Unlocked-Phone/product-reviews/B00NQGP42Y/ref=cm_cr_arp_d_paging_btm_52?ie=UTF8&pageNumber=52&sortBy=recent","I am very satisfied with my new iPhone 6. It has everything I need. Going from android back to Apple. iPhone is the greatest.","5.0 out of 5 stars"
